Waypoint,swing_to_boom_pos,boom_to_arm_pos,arm_to_bucket_pos,swing_to_boom_vel,boom_to_arm_vel,arm_to_bucket_vel,time_from_start_s
319,0.131899,-0.281272,-0.51114,0.00261304,0.00276204,-0.04,31.9
320,0.13216,-0.280996,-0.51514,0.00261304,0.00276204,-0.04,32
321,0.132421,-0.28072,-0.51914,0.00261304,0.00276204,-0.04,32.1
322,0.132683,-0.280443,-0.52314,0.00261304,0.00276204,-0.04,32.2
323,0.132944,-0.280167,-0.52714,0.00261304,0.00276204,-0.04,32.3
324,0.133205,-0.279891,-0.53114,0.00261304,0.00276204,-0.04,32.4
325,0.133467,-0.279615,-0.53514,0.00261304,0.00276204,-0.04,32.5
326,0.133728,-0.279339,-0.53914,0.00261304,0.00276204,-0.04,32.6
327,0.133989,-0.279062,-0.54314,0.00261304,0.00276204,-0.04,32.7
328,0.134251,-0.278786,-0.54714,0.00261304,0.00276204,-0.04,32.8
329,0.134512,-0.27851,-0.55114,0.00261304,0.00276204,-0.04,32.9
330,0.134773,-0.278234,-0.55514,0.00261304,0.00276204,-0.04,33
331,0.134984,-0.278011,-0.55837,0.000142238,0.000150349,-0.00217736,33.1
332,0.134984,-0.27801,-0.558373,1.54856e-16,1.63686e-16,-2.37051e-15,33.1023
